,Title,Ingredients,Instructions,Image_Name,Price
481,"Butternut Squash, Spinach and Goat Cheese Pizza","2 cups cubed butternut squash (1/2-inch pieces), 1 tablespoon plus 1 teaspoon olive oil, divided, 1/4 teaspoon salt, divided, 1/4 teaspoon freshly ground black pepper, divided, 1 medium red onion, halved and thinly sliced, 1/4 cup all-purpose flour, 1 ball (16 ounces) store-bought whole-wheat pizza dough, at room temperature, 2 cups chopped fresh baby spinach, 4 ounces crumbled goat cheese, 1/2 teaspoon dried thyme, 2 tablespoons cornmeal","Heat oven to 400°. Heat pizza stone on bottom rack (or use an inverted 11"" x 16"" cookie sheet, not heated). Toss squash with 1 teaspoon oil, 1/8 teaspoon salt and 1/8 teaspoon pepper. On a baking sheet, cook squash until soft and lightly browned, 25 minutes, stirring halfway through; set aside. In a large skillet over medium-high heat, heat remaining 1 tablespoon oil. Cook onion (season with remaining 1/8 teaspoon salt and 1/8 teaspoon pepper), stirring, until light brown, 10 minutes. Add 2 tablespoons water; cook, stirring, until brown, 5 minutes. Remove from heat. Turn oven up to 450°. Sprinkle flour on a flat surface. Press dough into a 15-inch circle or 10"" x 16"" rectangle. Top with squash, onion, spinach, cheese and thyme. Dust stone or inverted sheet with cornmeal; place pizza on it. Bake until crust is crispy and cheese melts, 10 to 12 minutes.",butternut-squash-spinach-and-goat-cheese-pizza-367831,37.05
482,Spinach and Chick Peas with Bacon,"3 slices thick-cut bacon, 3 tablespoons extra-virgin olive oil, 15-ounce can chickpeas, rinsed, 1/4 teaspoon dried hot red pepper flakes, 8 cups baby spinach (6 ounce), any tough stems discarded, 1 garlic clove, minced","Bring a 3-quart pot three fourths full of water to a boil. Add bacon and cook 2 minutes. Drain bacon and rinse in cold water. Pat dry and cut crosswise into 1/4-inch pieces.
Cook bacon in a 12-inch heavy skillet over moderate heat, stirring, until browned. Leaving bacon in skillet, spoon off all but 1 tablespoon fat. Add 2 tablespoons oil, chickpeas, and red pepper flakes to skillet and saut) over high heat, stirring occasionally, until chickpeas begin to brown, 3 to 4 minutes. Stir in spinach and garlic and sauté, stirring, until spinach is wilted. Season with salt and pepper and drizzle with remaining tablespoon oil.",spinach-and-chick-peas-with-bacon-103070,37.46
483,"Lentil, Beetroot and Hazelnut Salad With a Ginger Dressing","1 cup Puy lentils, rinsed, 2 3/4 cup filtered water, Sea salt, 3 cooked beetroot, cut into small cubes, 2 spring onions, finely sliced, 2 tablepoons hazelnuts, roughly chopped, A handful of fresh mint, roughly chopped, A handful of fresh parsley, roughly chopped, 3/4-inch cube of fresh ginger, peeled and roughly chopped, 6 tablepoons olive oil, 1 teaspoon Dijon mustard, 1 tablespoon apple cider vinegar, Pinch of sea salt and freshly ground black pepper","1. For the lentils, put them in a saucepan, cover with water, bring to a boil the reduce the heat and simmer for about 15–20 minutes, or until all the liquid has evaporated and the lentils are not mushy and still with a bite.
2. As soon as the lentils are cooked transfer them to a large bowl and leave to cool.
3. Once the lentils are cool, add the beetroot, spring onions, hazelnuts and herbs and stir until everything is combined.
4. For the dressing, put the ginger, mustard, oil and vinegar in a bowl and, using a hand-held blender, blend until combined.
5. Drizzle the dressing over the salad and serve.",lentil-beetroot-and-hazelnut-salad-with-a-ginger-dressing-56389906,13.28
484,Sweet Potato Biscuits,"1 medium sweet potato (about 5 ounces), 1 1/4 cups whole-wheat biscuit mix, 2 tablespoons chilled unsalted butter, cubed, 1/2 cup lowfat buttermilk, 1/4 teaspoon ground allspice","Wrap sweet potato in a paper towel. Microwave on high until soft, 4 minutes. Scoop flesh into a bowl and mash; set aside. Heat oven to 400°F. Place biscuit mix and butter in a bowl; rub butter into mix with fingertips until large pea-sized crumbs form. Add sweet potato, buttermilk and allspice; mix until just combined. Transfer dough onto a cookie sheet and form into a 12"" x 4"" rectangle. Cut into 8 rectangles with a serrated knife and separate slightly. Bake until biscuits are firm to the touch, 8 to 10 minutes. Transfer to a wire rack to cool. Once cool, store in an airtight container for up to 3 days.",sweet-potato-biscuits-361850,21.1
485,"Pasta with Spicy Sausage, Radicchio, and Sun-Dried Tomatoes","1 pound casarecce or other short pasta, Kosher salt, 1/4 cup olive oil, 1 large onion, thinly sliced, 1 pound spicy Italian sausage, casings removed, 1 1/4 pounds radicchio, cored, coarsely chopped (about 7 cups), 1/2 cup thinly sliced drained oil-packed sun-dried tomatoes, Freshly ground black pepper","Cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain pasta, reserving 3/4 cup pasta cooking liquid; return pasta to pot.
Meanwhile, heat oil in a medium skillet over medium-high. Add onion and 1/4 tsp. salt and cook, stirring occasionally, until tender, about 5 minutes (do not brown). Add sausage and cook, stirring occasionally and breaking up sausage into small bits with a wooden spoon, until sausage is mostly cooked through, about 5 minutes. Add radicchio and 2 Tbsp. water. Cook, covered, until sausage is cooked through and radicchio is wilted, 3–5 minutes more.
Add tomatoes, sausage mixture, and 1/2 cup pasta cooking liquid to pot with pasta. Season with salt and pepper, toss to coat, and add remaining 1/4 cup pasta cooking liquid, if needed. Divide among serving plates and top with pepper.",pasta-with-spicy-sausage-radicchio-and-sun-dried-tomatoes,3.52
486,Spring Greens with Quick-Pickled Vegetables,"1 cup unseasoned rice vinegar, 3 tablespoons sugar, 1 tablespoon kosher salt, 8 ounces small carrots, baby turnips, and/or Chioggia beets, shaved on a mandoline (about 2 cups), 1/3 cup olive oil, 1 tablespoon (or more) fresh lemon juice, 1 tablespoon unseasoned rice vinegar, Kosher salt, freshly ground pepper, 12 cups mixed tender greens (such as mizuna, tatsoi, arugula, dandelion greens, and/or sorrel), 1/4 cup tender herb leaves and blossoms (such as tarragon or mint)","Bring vinegar, sugar, and salt to a boil in a small saucepan. Remove from heat and add vegetables; let sit until just tender, about 10 minutes. Drain.
Whisk oil, lemon juice, and vinegar in a small bowl; season vinaigrette with salt, pepper, and more lemon juice, if desired.
Toss vinaigrette, greens, and herbs in a large bowl. Add pickled vegetables to salad; season with salt and pepper and toss to combine.",spring-greens-with-quick-pickled-vegetables-51231710,12.3
487,"Melon, Basil, and Feta Salad With Balsamic–Red Wine Reduction","3 tablespoons shelled pistachios, 3 tablespoons almonds, Finely grated zest and juice of 4 limes, 1 scant cup olive oil (200 ml/7 fl oz), 1/2 cup cherry tomatoes, halved, 1/4 canteloupe (250 grams), cut into 1/2-inch cubes, 1/4 watermelon (250 grams), cut into 1/2-inch cubes, 7 oz (200 grams) prosciutto or smoked fish (optional), torn into bite-size pieces, 1 1/3 cups crumbled marinated feta cheese (200 grams/7 oz), 1 large handful basil, leaves picked, 4 cups balsamic vinegar, 1/2 cup Marsala, 1/2 cup red wine","To make the balsamic reduction, put the balsamic, Marsala and red wine in a heavy-based saucepan over medium-low heat. Cook until reduced by two-thirds and thickened to the consistency of honey (this will take 2 to 3 hours). Remove from the heat and set aside.
Put the pistachios and almonds in a small frying pan over medium heat. Cook for 5 minutes, stirring continuously, until lightly brown. Transfer the nuts to a large bowl and allow to cool.
Put the lime zest and juice in a small bowl and add the olive oil. Whisk well using a fork or whisk.
Put the tomatoes, cantaloupe, and watermelon in a large bowl. Pour over the lime vinaigrette and toss lightly.
Arrange the prosciutto or smoked fish (if using) over the top, crumble over the feta, and drizzle with the balsamic reduction. Season with sea salt and freshly ground black pepper and garnish with the toasted nuts and basil leaves.",melon-basil-and-feta-salad-with-balsamicred-wine-reduction,30.26
488,Chinese Hot-and-Sour Soup,"5 ounces boneless pork loin, cut into 1/4-inch-thick strips (2/3 cup), 2 teaspoons dark soy sauce*, 4 small Chinese dried black mushrooms*, 12 small dried tree ear mushrooms*, 1 1/2 tablespoons cornstarch, 12 dried lily buds* (sometimes called golden needles), 1/2 cup canned sliced bamboo shoots*, cut lengthwise into 1/8-inch-wide strips (from an 8-oz can), 2 tablespoons red-wine vinegar, 2 tablespoons rice vinegar (not seasoned), 1 tablespoon light soy sauce*, 1 1/2 teaspoons sugar, 1 teaspoon kosher salt, 2 tablespoons peanut oil, 4 cups reduced-sodium chicken broth, 3 to 4 oz firm tofu (about a quarter of a block), rinsed and drained, then cut into 1/4-inch-thick strips, 2 large eggs, 2 teaspoons Asian sesame oil*, 1 1/2 teaspoons freshly ground white pepper, 2 tablespoons thinly sliced scallion greens, 2 tablespoons fresh whole cilantro leaves, *Available at Asian foods markets, Uwajimaya (800-889-1928), and Kam Man Food Products Inc. (212-571-0330).","Toss pork with dark soy sauce in a bowl until pork is well coated.
Soak black and tree ear mushrooms in 3 cups boiling-hot water in another bowl (water should cover mushrooms), turning over black mushrooms occasionally, until softened, about 30 minutes. (Tree ears will expand significantly.) Cut out and discard stems from black mushrooms, then squeeze excess liquid from caps into bowl and thinly slice caps. Remove tree ears from bowl, reserving liquid, and trim off any hard nubs. If large, cut tree ears into bite-size pieces. Stir together 1/4 cup mushroom-soaking liquid (discard remainder) with cornstarch in a small bowl and set aside.
Meanwhile, soak lily buds in about 1 cup warm water until softened, about 20 minutes, then drain. Trim off tough tips of lily buds. Cut lily buds in half crosswise, then tear each half lengthwise into 2 or 3 shreds.
Cover bamboo shoots with cold water by 2 inches in a small saucepan, then bring just to a boil (to remove bitterness) and drain in a sieve.
Stir together vinegars, light soy sauce, sugar, and salt in another small bowl.
Heat a wok over high heat until a bead of water vaporizes within 1 to 2 seconds of contact. Pour peanut oil down side of wok, then swirl oil, tilting wok to coat sides. Add pork and stir-fry until meat just changes color, about 1 minute, then add black mushrooms, tree ears, lily buds, and bamboo shoots and stir-fry 1 minute.
Add broth and bring to a boil, then add tofu. Return to a boil and add vinegar mixture. Stir cornstarch mixture, then add to broth and return to a boil, stirring. (Liquid will thicken.) Reduce heat to moderate and simmer 1 minute.
Beat eggs with a fork and add a few drops of sesame oil. Add eggs to soup in a thin stream, stirring slowly in one direction with a spoon. Stir in white pepper, then drizzle in remaining sesame oil and divide among 6 to 8 bowls. Sprinkle with scallions and cilantro before serving.",chinese-hot-and-sour-soup-231354,11.29
489,"Amatriciana (Guanciale, Tomato, and Pecorino Romano)","2 1/2 ounces (70 grams) guanciale, cut into thin strips, 2–3 tablespoons extra virgin olive oil, 1 small onion (any kind), chopped (optional but recommended), 1 pound (450 grams) red, ripe sauce tomatoes, broken into pieces, or canned Italian peeled tomatoes, drained, 1 small piece dried chile, salt, 1 pound (450 grams) pasta (see note below), 7 rounded tablespoons (70 grams) grated pecorino (see headnote)","Put the guanciale and oil in a saucepan. Turn the heat to medium and heat gently so the guanciale renders some fat and starts to brown. Taste a piece to assess how salty it is. Then, when it just begins to become crisp, add the chopped onion (if using) and sauté gently until transparent. Add the tomatoes and chile, then taste for salt (how much you need will depend on the guanciale).
Finish cooking the sauce, covered, over low heat. You'll know it's done when the liquid has thickened somewhat and the fat shows on the surface, about 20 minutes.
Make-ahead note: This much can be done earlier in the day, but this sauce is not customarily made in advance or kept, except casually as leftovers for the next day.
Bring 5 quarts (5 liters) of water to a boil in an 8-quart (8-liter) pot over high heat. Add 3 tablespoons kosher salt, then add the pasta and cook, stirring occasionally, until al dente.
Warm a serving bowl or platter in a low oven. If the oven is not practical, warm the bowl just before use with hot water, even a ladleful of the pasta cooking water.
Drain the pasta and put it in the warmed serving bowl. Toss it first with the grated cheese, then with the sauce. Serve immediately.",amatriciana-em-guanciale-tomato-and-pecorino-romano-em-51221210,18.67
490,Day-After Turkey Stock,"3 chopped celery stalks, 1 chopped onion, 1 turkey carcass (broken into pieces), and water to cover (12-14 cups)","Combine 3 chopped celery stalks, 1 chopped onion, 1 turkey carcass (broken into pieces), and water to cover (12-14 cups) in a stockpot. Set over high heat and bring to a boil. Reduce heat and simmer until broth is reduced by 1/3, about 3 1/2 hours. Strain; discard solids. Let cool; cover and chill. DO AHEAD Stock will keep chilled for 3 days or frozen for 3 months.",day-after-turkey-stock-51123650,13.45
491,Crudités with Green Goddess Dip,"3 tablespoons fresh lemon juice, 2 anchovy fillets, 1 medium shallot, coarsely chopped, 1 tablespoon Champagne vinegar or white wine vinegar, 1 garlic clove, peeled, 1 large ripe avocado, peeled, pitted, quartered, 1/2 cup sour cream, 1/4 cup chopped fresh Italian parsley, 3 tablespoons chopped fresh tarragon, 1 tablespoon chopped fresh basil, 1/2 cup olive oil, 30 cooked large American shrimp, peeled, tails left intact, Heads of green and red Belgian endive, trimmed, leaves separated, Easter Egg radishes, trimmed, with some tops still attached, Heirloom baby carrots, peeled, trimmed, with some tops still attached, Persian or Japanese cucumbers, cut into 3x1/2-inch spears, Sugar snap peas, trimmed, Red, yellow, and orange bell peppers, cut into 3x1/2-inch strips","Combine lemon juice, anchovies, shallot, vinegar, and garlic in processor. Blend until shallot and garlic are finely chopped. Add avocado, sour cream, parsley, tarragon, and basil; blend until almost smooth. With machine running, add olive oil through feed tube in thin stream. Transfer dip to small bowl. Season to taste with salt and pepper. DO AHEAD: Can be made 1 day ahead. Cover and chill.
Place bowl of dip on large platter. Surround with shrimp and vegetables.",crudites-with-green-goddess-dip-350423,17.29
492,Lattice Apple Pie with Mexican Brown Sugar,"1/2 pound piloncillo (unrefined brown sugar; also called panela), 3/4 cup water, 4 (1-inch-wide) strips orange zest, 1/4 teaspoon cinnamon, 1/4 teaspoon ground allspice, 2 1/2 pound medium apples, 3 tablespoons all-purpose flour, Pastry dough (for a double-crust pie), 1 tablespoon milk, 1 teaspoon sugar, Accompaniment: rum ice cream","Put a large heavy baking sheet in middle of oven and preheat oven to 425°F.
Bring piloncillo, water, zest, spices, and 1/8 teaspoon salt to a boil in a small heavy saucepan, covered, stirring occasionally until piloncillo has dissolved. Remove lid and boil over medium-low heat until syrup is thickened and reduced to about 3/4 cup, 6 to 10 minutes. Discard zest and cool syrup slightly.
Meanwhile, peel and core apples, then cut into 1/2-inch-wide wedges.
Toss apples with flour, then with syrup.
Roll out 1 piece of dough (keeping remaining piece chilled) on a lightly floured surface with a lightly floured rolling pin into a 13-inch round, then fit into a 9-inch pie plate.
Trim edge, leaving a 1/2-inch overhang, and chill shell.
Roll out remaining piece of dough on a lightly floured surface with a lightly floured rolling pin into a 16-by 11-inch rectangle. Cut dough crosswise into 11 (1 1/4-inch-wide) strips.
Stir apple mixture, then spoon evenly into pie shell. Weave a tight lattice pattern over pie with pastry strips.
Trim all strips flush with edge of pie plate. Fold bottom crust up over edge of lattice and crimp. Brush lattice (but not edge) with milk and sprinkle with sugar.
Bake pie on hot baking sheet 20 minutes.
Reduce oven temperature to 375°F and bake until crust is golden and filling is bubbling, 50 to 60 minutes more. Cool pie to warm or room temperature, about 1 1/2 hours.",lattice-apple-pie-with-mexican-brown-sugar-350597,19.66
493,Caramelized Clementines,"12 clementines, peeled, 1/4 cup orange-flavored liqueur (or dark rum), 1 cup sugar, 2 tablespoons lemon juice, 1/4 cup pomegranate seeds","Loosen segments of each clementine from the top without detaching from the stem end. Place in a bowl. Sprinkle on liqueur. Cover; refrigerate 30 minutes. To start the sauce, bring 1/3 cup sugar, lemon juice and 1/3 cup water to a boil in a small saucepan over medium heat. Simmer, stirring, until liquid is clear. Remove from heat; set aside. Line baking sheet with foil. To make the shards, stir remaining 2/3 cup sugar and 1/4 cup water in a medium saucepan over medium heat until sugar is moistened. Bring to a boil, washing down sides of pan with a brush dipped in cold water, until syrup turns a golden caramel color. Remove from heat. Pour half the caramel onto baking sheet; set aside about 30 minutes to harden. To finish the sauce, add sugar-lemon syrup to remaining caramel in pan. Simmer, stirring often, until caramel dissolves. Transfer to a bowl; cool 15 minutes. Pour over clementines. Cover; refrigerate at least 2 hours. Break hardened caramel into shards; store in an airtight container until ready to serve. Before serving, garnish fruit with caramel shards and pomegranate seeds.",caramelized-clementines-236926,37.72
494,Scarlet Poached Pears,"2 cups Orange Muscat such as Essencia (from a 750-ml bottle), 1 medium red beet (1/4 pound), peeled and sliced, 1 tablespoon sugar, 2 teaspoons fresh lemon juice, 1 (2-inch) cinnamon stick, 2 Turkish bay leaves or 1 California, 3 small firm-ripe pears (3/4 to 1 pound total), such as Forelle, peeled, halved lengthwise, and cored","Bring wine, beet, sugar, lemon juice, cinnamon, and bay leaves to a boil in a 1 1/2- to 2-quarts saucepan, stirring until sugar has dissolved.
Add pears and cover with a round of parchment paper. Simmer, turning occasionally, until pears are tender and liquid is syrupy, 35 to 40 minutes. Transfer pears to a bowl. Discard cinnamon stick and bay leaves and pour syrup over pears. Cool completely in syrup, about 30 minutes.",scarlet-poached-pears-243611,19.34
495,Cornmeal Pancakes with Honey-Pecan Butter,"1/2 cup (1 stick) unsalted European-style butter, room temperature, 2 tablespoons honey, Generous pinch of ground cinnamon, 1/3 cup finely chopped toasted pecans, 1 cup plus 2 tablespoons all purpose flour, 1/3 cup fine yellow cornmeal, 2 tablespoons sugar, 1 teaspoon baking powder, 1/2 teaspoon baking soda, 1/4 teaspoon salt, 2 large eggs, 3/4 cup sour cream, 3/4 cup whole milk, 1/4 cup vegetable oil, 1/2 teaspoon vanilla extract, Melted European-style butter, Maple syrup, warmed","Using electric mixer, beat 1/2 cup butter, honey, and cinnamon in small bowl until fluffy. Stir in pecans. Season with salt.
Sift flour, cornmeal, sugar, baking powder, baking soda, and salt into large bowl. Whisk eggs in medium bowl to blend; whisk in sour cream, milk, oil, and vanilla. Gradually add liquid mixture to dry ingredients, whisking just until blended.
Heat griddle or heavy large skillet over medium heat. Working in batches, brush griddle lightly with melted butter. Pour batter by 1/3 cupfuls onto griddle. Cook until bottoms brown, about 4 minutes. Turn pancakes over and cook until second sides brown, about 2 minutes. Divide pancakes among plates and top with honey-pecan butter. Serve, passing warm maple syrup separately.",cornmeal-pancakes-with-honey-pecan-butter-108554,12.9
496,Cheese Sauce,"5 tbsp butter, 5 tbsp all-purpose flour, 2 1/2 cups milk, Few grains of nutmeg, Salt as needed, Freshly ground black pepper as needed, 2 egg yolks, 1/2 cup grated kefalotyri or Parmesan cheese, N/A or Parmesan cheese","1. Heat the butter in a saucepan over medium heat. Add the flour and stir well. Cook for about 5 minutes, stirring constantly. Gradually whisk in the milk, working out any lumps that form. Bring to a full boil, then reduce the heat to low and gently simmer, stirring frequently, until thickened, about 30 minutes.
2. Remove the sauce from the heat and add nutmeg, salt, and pepper to taste. Whisk the egg yolks in a small boil and add a bit of the hot sauce to the yolks. Blend well, and return the yolk mixture to the rest of the béchamel. Stir in the cheese and blend well. Keep warm while preparing the moussaka.",cheese-sauce-353749,33.05
497,Tangy Frozen Greek Yogurt,"1 cup sugar, 1/2 cup light corn syrup, 1/4 cup water, 1/8 teaspoon salt, 2 cups plain whole-milk Greek-style yogurt, 1 cup well-shaken buttermilk, 5 teaspoon fresh lemon juice, Equipment: an ice cream maker","Warm sugar, corn syrup, water, and salt in a small saucepan over low heat, stirring, until sugar has dissolved. Transfer to a large bowl and cool to room temperature, stirring occasionally.
Whisk in yogurt, buttermilk, and lemon juice and chill until very cold, 3 to 6 hours.
Freeze yogurt in ice cream maker. Transfer to an airtight container and put in freezer to firm up.",tangy-frozen-greek-yogurt-354476,27.52
498,Gluten-Free Pistachio Truffle Cookies,"1/2 cup heavy cream, 2 tablespoons brown-rice syrup, 8 ounces high-quality bittersweet chocolate, finely chopped, 1 tablespoon cognac, 1 cup plus 3 tablespoons shelled pistachios, divided, 1/4 cup granulated sugar, 1 tablespoon cornstarch, 1/4 teaspoon fine sea salt, 1 large egg white, 1 teaspoons vanilla extract, 1/8 teaspoon almond extract, 6 ounces high-quality bittersweet chocolate, roughly chopped, 1 tablespoon extra-virgin coconut oil","In a small saucepan, heat cream and brown rice syrup over medium heat until it just begins to simmer. Immediately remove the pot from heat and add chocolate. Let stand for 3 minutes, then stir until chocolate is melted and smooth. Add cognac and stir to combine.
Transfer truffle filling to a medium bowl and let stand at room temperature until the texture thickens and resembles peanut butter, whisking occasionally, about 45 minutes.
Arrange the racks in the upper and lower rungs in the oven and preheat the oven to 325°F. In the bowl of a food processor, pulse 3 tablespoons pistachios until very finely ground and powdery. Set ground pistachios aside.
In the bowl of a food processor, combine remaining 1 cup pistachios, sugar, cornstarch, and salt; pulse until very finely ground. Add the egg white, vanilla extract, and almond extract, and pulse until well combined.
Drop dough by teaspoonfuls onto two parchment-lined baking sheets, spacing them 1 inch apart. Use a finger dipped in water to gently flatten the pistachio rounds until they are about 1 inch in diameter. Bake until the cookies are set and edges are golden, about 12 minutes. Let the cookies to cool completely, then freeze cookies for 1 hour.
Once the cookies have been frozen, spoon 1/2 teaspoon truffle filling on the flat side of each cookie. Use a butter knife or small offset spatula to shape the filling to a domed point. Freeze cookies until the filling is set, about 15 minutes more. Place cookies on a wire rack placed over a parchment-lined rimmed baking sheet.
In a heatproof bowl set over a medium saucepan of barely simmering water, combine the 6 ounces of chocolate and the coconut oil. Stir until mixture is smooth; remove from heat and let cool slightly.
Working with one cookie at a time, spoon the chocolate shell over the cookies to completely enclose the filling. Sprinkle the top of each cookie with a pinch of reserve ground pistachio while the glaze is still wet. Let cool completely before serving.
Make ahead: The cookies can be stored in the refrigerator for up to 1 week.",gluten-free-pistachio-truffle-cookies-51259020,37.16
499,Salmon with Soy-Honey and Wasabi Sauces,"1/2 cupmirin (Japanese sweet rice wine), 2 tablespoons soy sauce, 1/4 cup rice vinegar (not seasoned), 1 tablespoon finely grated peeled fresh ginger, 4 (6-ounce) pieces salmon fillet, 2 tablespoons soy sauce, 1/4 cup honey, 1 tablespoon fresh lime juice, 2 teaspoons wasabi powder, 1 tablespoon water, Accompaniment: lime wedges","Stir together mirin, soy sauce, vinegar, and ginger in a shallow dish. Add fish, skin sides up, and marinate, covered, at room temperature 10 minutes.
Preheat broiler.
Boil soy sauce, honey, and lime juice in a small saucepan, stirring frequently, until thickened, about 4 minutes.
Stir together wasabi powder and water in a small bowl.
Broil fish, skin sides down, on oiled rack of a broiler pan 5 to 7 inches from heat until fish is just cooked through, about 6 minutes.
Serve salmon drizzled with sauces.",salmon-with-soy-honey-and-wasabi-sauces-105026,18.81
500,Amaro-Spiked Mocha With Caramelized Brioche,"2 tablespoons unsalted butter, 1 slice brioche or Pullman bread, cut crosswise into 3/4-inch square strips, 1/4 cup raw sugar, 1 pinch kosher salt, 1 cup whole milk, 2 tablespoons heavy cream, 1 1/2 ounces bittersweet chocolate (at least 70% cacao), finely chopped, 1 1/2 ounces milk chocolate, finely chopped, 1 tablespoon cornstarch, 2 tablespoons unsweetened cocoa powder, plus more for serving, 1 single shot espresso (about 1 ounce), 1 tablespoon sugar, 1 pinch kosher salt, 1 1/2 ounces amaro (preferably Nonino), Whipped cream (for serving)","Heat butter in a small skillet, preferably nonstick, over medium-low until it begins to foam. Add brioche and cook, turning occasionally, until golden brown on all sides, about 3 minutes total. Transfer to paper towels and let drain.
Wipe out skillet and sprinkle with sugar and salt; set over medium heat. Cook (undisturbed) until edges of sugar begin to melt, about 1 minute. Stir sugar, bringing edges in toward the center to prevent burned spots, and continue cooking until all sugar is melted and turns amber color, about 4 minutes. Add brioche and quickly turn to coat all sides in caramel, about 30 seconds. Transfer to a parchment-lined rimmed baking sheet and let cool.
Combine milk and cream in a 2-cup measuring glass. Pour 1/4 cup milk mixture into a small saucepan and add bittersweet chocolate and milk chocolate. Heat over medium-low, stirring occasionally, until chocolate is melted, about 2 minutes. Reserve remaining milk mixture.
Meanwhile, whisk cornstarch and 2 Tbsp. cocoa powder in a small bowl. Whisk in 1/4 cup reserved milk mixture, then whisk in remaining milk mixture.
When chocolate is melted, add cocoa mixture, espresso, sugar, and salt and cook, stirring often, until liquid begins to boil and thicken, about 4 minutes. Remove from heat and add amaro.
Divide mocha among mugs. Top with whipped cream and dust with cocoa powder. Serve with caramelized brioche.",amaro-spiked-mocha-with-caramelized-brioche,36.87
501,Chicken Barbecue (Inihaw na Manok),"2 1/4 cups (540 ml) banana ketchup, 1 cup (240 ml) 7UP, 1/2 cup (120 ml) fresh lemon juice, 1/2 cup (120 ml) soy sauce, 1/2 cup (120 ml) white sugarcane vinegar, 1/2 cup (110 g) packed brown sugar, 1/4 cup (35 g) minced garlic, 3 pounds (1.4 kg) boneless, skinless chicken thighs, cut into 1-inch pieces, Cooking spray or vegetable oil, for greasing, Sawsawan, for serving","In a large nonreactive bowl, storage container, or Ziploc bag, mix together the banana ketchup, 7UP, lemon juice, soy sauce, vinegar, brown sugar, and garlic until the sugar has dissolved.
Add the chicken pieces and toss. Cover the bowl or container or seal the bag and marinate in the refrigerator for at least 1 hour and preferably overnight.
When you are ready to cook the meat, heat a grill pan over high heat or heat a charcoal or gas grill to medium.
Reserving the marinade, thread 3 or 4 pieces of chicken on each skewer, letting the pieces touch slightly, and set them on a plate or baking sheet.
Pour the marinade into a saucepan and bring it to a simmer over medium-high heat. Reduce the heat to medium and cook for 10 minutes; set it aside.
Spray the pan or grill grate lightly with cooking spray. Place the skewers on the grill pan or grill and cook, turning them and basting them often with the heated marinade, until they are cooked through or the center of a piece of chicken registers 165°F (75°C) on an instant-read thermometer. This should take between 8 and 15 minutes, depending on your cooking surface. (Discard any leftover marinade.)
Transfer to a platter and serve immediately, with sawsawan.",filipino-chicken-barbecue-skewers-inihaw-na-manok,30.94
502,"Quinoa, Lime and Chili-Crumbed Snapper With Sweet Potato Wedges","1 teaspoon ground cumin, 2 teaspoons chili flakes, 1 teaspoon sea salt, plus more for sprinkling, 1 1/2 pounds sweet potatoes, cut into wedges, Cracked black pepper, 2 tablespoons extra-virgin olive oil, 2 cups quinoa flakes, 1 tablespoon finely grated lime zest, 2 eggs, 4 (5 1/4-ounce) snapper fillets, 1/2 cup flat-leaf parsley leaves, finely chopped, Mayonnaise and lime wedges, to serve","Preheat oven to 425°F. Place the cumin, 1/2 teaspoon of the chili flakes and 1 teaspoon of the salt in a bowl and mix to combine. Place the sweet potatoes on a rimmed baking sheet and sprinkle with half the salt mixture, pepper and 1 tablespoon of the oil. Roast, turning halfway, for 20 minutes or until golden.
Place the quinoa, lime zest, remaining chili flakes, salt and pepper in a bowl and mix to combine. Place the eggs in a bowl and whisk to combine.
Heat the remaining oil in a large non-stick frying pan over medium heat. Dip the fish into the egg and press into the quinoa mixture to coat. Cook for 2–3 minutes on each side or until golden and cooked through. Serve the fish and potatoes with the remaining salt mixture, the parsley, mayonnaise and lime wedges.",quinoa-lime-and-chili-crumbed-snapper-with-sweet-potato-wedges-56390086,13.21
503,Simplest Kale Salad,"6 Tbsp. extra-virgin olive oil, 6 Tbsp. fresh lemon juice, 1 Tbsp. honey, 1 tsp. kosher salt, 2 bunches curly kale (about 1 lb.), rinsed, ribs and stems removed, leaves torn into 1""–1 1/2"" pieces, 2 oz. Parmesan, finely grated (about 1 cup), plus more for serving","Whisk oil, lemon juice, honey, and salt in a large bowl. Add kale and toss to coat. Massage with your hands until leaves are shiny and dark green. Toss in Parmesan. Transfer salad to a platter. Top with more Parmesan before serving.",simplest-kale-salad,22.46
